,oscillator,ID,jacobian
0,True,37997,"[ -35.55059594   94.03172586    0.            0.         -416.27262173
 -255.06540889   35.55059594 -720.         -400.        ]"
1,True,41815,"[ -7.45010802  16.37158776   0.           0.         -16.37158776
   3.70892074 -28.79546017  16.37158776 138.15811698]"
2,True,4590,"[-108.91154515   14.16891189  -12.85611098   97.19176769  -21.53534106
   37.77627094 -103.9852214    32.62462388  -17.81779899]"
3,True,58366,"[-152.76403849  -13.4599449   296.08895452   35.66115937  -12.16997054
    0.           86.26039197    9.3497458  -122.66680216]"
4,True,61318,"[-830.76564732   85.          -42.70224683  387.96275868   21.70398863
    0.            0.           47.27113058   -7.21822739]"
5,True,75714,"[ -13.26478457  455.00695274  545.9139283     0.         -475.28542277
  392.27079738   32.83543046   20.27847003 -940.65536335]"
6,True,59394,"[-637.87965903   39.25010699  -10.24780347  659.97634943 -119.02081968
   67.93941491 -702.811496    119.02081968 -105.46792056]"
7,True,68081,"[-42.56219294  -6.59687297   0.           0.         -17.7176411
  11.56000342   6.69088639   0.         -11.56000342]"
8,True,21554,"[ -12.40880354    2.58369058    0.           12.40880354  -28.62393939
    5.69588768 -225.96275489   28.62393939   38.47038976]"
9,True,55660,"[ -11.24137947  107.9708252    59.44138446    0.          -55.11308195
  -37.97435236   11.24137947 -106.01815886  -80.90841656]"
10,True,74594,"[ -41.23027812   44.42673887    0.           36.45076563 -574.51254494
 -309.60420058   39.72655745 -250.84078776 -179.75179262]"
11,True,72437,"[-669.38909782  -52.88792176   36.65633653 -602.80545109 -165.14945423
   17.75701334  625.           93.03737598  -14.55237959]"
12,True,3943901525921347288,"[-540.78656633   50.25938348  -54.0648878   486.58399022  -66.26578872
   71.27318473 -544.80560519   16.00640524  -27.73435089]"
13,True,6712022753740167549,"[-117.63359321  713.2495042   479.00991028   84.46154786 -724.29111018
 -396.24972455   50.57819018 -702.20789821 -335.60596919]"
14,True,2118106241530941419,"[ -128.60815857   317.2494068    176.24967045   155.50637438
 -2207.83219076  -176.24967045    20.60699849   122.2769191
  -421.74206047]"
15,True,4751119574052066959,"[ -62.84412655  276.8657708   153.81431711   62.84412655 -306.19183611
 -152.42162586  -25.40454108 -218.21364018 -106.52225414]"
16,True,8984147643411395521,"[  -13.11014102   280.42131058   155.78961699    13.11014102
  -714.02673887  -102.59005717   -60.39114778 -1788.54987892
  -935.76532281]"
17,True,7664087479924090576,"[-123.53708435    0.          440.77282232   14.39367945   -9.51575591
    0.          232.68048925  -86.56958101 -494.15356504]"
18,True,176230731819401293,"[   -7.40250182     0.             5.24806183   -68.31525173
 -1610.23235949   157.46550838     7.40250182  1596.56930915
   -91.4476163 ]"
19,True,3959114832588555224,"[-53.26689924 168.36474905  95.07242894  26.63344962 -94.384647
 -45.2315286    0.         -73.98010205  -2.50411378]"
20,True,341155152893086175,"[ -80.33726793  149.25528035    0.          150.39125624 -231.42329878
  -31.38272255    7.61999344    0.          -14.26617658]"
21,True,3601302823955478249,"[-285.49109797   21.26519302   -7.59467326    0.          -21.26519302
   43.89300728 -266.12856001    0.           28.4632283 ]"
22,True,5002966964555991133,"[-493.56519229  -57.67204792   62.43061859 -372.75702162  -33.86252412
   30.17433524  499.25721475  105.70185964 -103.19890733]"
23,True,2176876907354948375,"[ -79.67089321    0.          245.85989689    0.            3.31304849
    8.0134388   229.37752137 -384.87387932 -530.87824664]"
24,True,3139610573163374018,"[-1374.31370573    17.3469336     60.96337526   376.26629044
   -62.08474845    18.59485242  -566.66099992    40.74160217
  -283.83348205]"
25,True,6369524050801627000,"[-85.9913177   17.53992217   0.         223.78936469 -99.10909532
 -34.40718688  12.77614882   0.         -10.90902043]"
26,True,7693826547557662375,"[ -61.13130295  -10.89048674    3.73823656 -141.82418643  110.29144974
  -28.84825643   -0.16018184   36.34744051  -10.54840154]"
27,True,4142353808029859888,"[ -31.89335938  -13.98228349  149.03832692  -21.00875119   14.17748924
   21.25084763   -1.72323851   13.98228349 -123.79226295]"
28,True,2572445829257296896,"[-240.42372206  -34.67935406   -3.20433646 -256.45135796  225.22025
  164.22555863  262.66277399 -243.07345074 -164.22555863]"
29,True,2560732040661530837,"[  -88.09510332    -8.46638548  1685.35889745     0.
    -9.15263518    15.56917044   122.01902257   -69.1025867
 -1733.53756821]"
30,True,6539580300772440351,"[-361.66665071  -41.52158746   70.28299872 -216.28642768   16.89393529
    0.          216.28642768   43.25728554  -35.14149936]"
31,True,4462014727403051917,"[-192.99119292  -16.94856724  -28.6987116  -201.51243368  -51.82494253
   35.59773562  258.28840444    0.           -6.89902402]"
32,True,530232308272358462,"[ -54.54266983  490.09810158  292.03859306   54.54266983 -526.57397934
 -272.2767231     0.         -453.62222381 -212.13729967]"
33,True,6979961783036352067,"[-378.08875806   44.52805036  -31.67616066  325.643473    -54.162542
   61.42793446 -273.19818795    9.63449163   11.3408611 ]"
34,True,3815667618996901231,"[-573.98169743   54.14767134  -40.74395738  389.96083912  -54.14767134
   69.32243164 -286.3177986     0.           29.75219633]"
35,True,4124546421616537090,"[ 175.94302693    0.           45.37377331  -48.42646127   -6.46901712
   84.39708836 -166.65712447   12.23751532 -129.77086167]"
36,True,2202087968476772932,"[-190.22571915   -1.85327339    0.         -224.10493518  -87.78870068
   92.36356764  224.10493518  -33.66282155 -107.4266837 ]"
37,True,2171260895076921167,"[ -31.52907997  184.35027723  117.4541533    31.52907997 -482.64131655
 -200.86372018    0.         -403.49374479 -152.543236  ]"
38,True,3568885974314290930,"[-185.75412347  167.18164448    4.68023303   12.58391377  -58.71831241
    0.            0.            5.85027221  -23.92136745]"
39,True,1456575769372837239,"[ -63.91059324    0.          169.46599034   12.63047868  -13.63715504
    0.          133.02291003  -38.94407805 -198.6777865 ]"
40,True,6531733189343687129,"[ -11.24260534   29.97920245    0.            0.          -29.97920245
  946.12711742 -197.97916137  182.10387145 -969.37398038]"
41,True,2081027095831562333,"[  -9.47779616   18.11604833    0.            3.08619194  536.22461738
  336.99377475 -491.48785657 -428.32452508 -391.6035366 ]"
42,True,4764718287375399762,"[-160.1135358    -9.84361353   65.33250478  -82.85704946   20.31238496
    0.          203.99616435   21.48694124 -110.15125384]"
43,True,3216957489494237570,"[-460.71313536  -52.91085256   36.77892909 -130.16591248  -49.56555497
   -3.85808028  -82.49048891   22.73367673  -31.45819558]"
44,True,1386851880973440723,"[ 52.61723343   2.08467416   0.           0.         -10.97896599
  52.52585368   3.87898361   0.         -52.52585368]"
45,True,8449792021413226913,"[-29.32402891 -29.01218867  42.81726841   0.          -5.90864399
   2.03555611  24.23403721   5.90864399 -44.85282452]"
46,True,4911326349351384737,"[-591.17433918  104.01710934  -57.27112766  359.89304748  -60.16932757
   53.76353821 -154.59506051   -2.73102344   43.45072302]"
47,True,6154240022829437010,"[ -19.79354806    0.           21.73370314 -314.73200758  232.0645572
   40.85387124    0.           25.67978184  -40.85387124]"
48,True,2588783467523060443,"[-108.24723001  495.96435359  275.53575199  108.24723001 -548.73068497
 -264.51042865    0.         -162.54370458  -84.91665049]"
49,True,7895293577873355402,"[-61.01480573  -6.86547975   8.95161917   0.         -22.64132386
   8.95161917   4.55937178   0.          -8.95161917]"
50,True,9143981266106148773,"[-186.0541956   105.07151716   56.97213267   76.27430376  -68.27108285
  -15.21263731  181.32753387 -100.02816047  -98.73162803]"
51,True,4897094903825183595,"[ 23.08299852   9.72491625  64.79271454  -7.84208377 -19.34406365
  66.92314288  18.28090811   1.56841675 -76.41650402]"
52,True,8028652878495704047,"[ -22.76951574   -1.81611782   27.39939948 -221.22930853 -641.33910057
  397.74463473    0.          297.17772677  -37.36278981]"
53,True,7338006722304665668,"[-57.77571938   6.64861298 245.20441374   0.         -16.14932748
  40.09776964  10.27214688   0.         -40.09776964]"
54,True,7495907960645418880,"[-66.12184708  38.41721548   0.         -38.87565847 -38.39416736
  75.16594226  39.28607204 -48.16622298 -76.54408662]"
55,True,4966078295754224136,"[-607.20807974   36.28095872  -35.57710464  195.35729622  -14.95153638
  -17.17489981    0.            4.77680761  -10.18409353]"
56,True,4969119072805367431,"[ -10.37207007  470.80359133  258.07582196    0.         -417.65013529
 -258.07582196 -120.47204525 -464.53647952 -272.61405699]"
57,True,6565038195867823320,"[-322.64753992  277.85050574  -11.03382951  545.20644115 -531.82753607
   60.57849346 -272.60322058  277.85050574  -61.11966449]"
58,True,4262115557362581843,"[ -42.52946328  -17.07074188   74.42664623  -85.35370942  -17.07074188
  136.46981898   94.11155873   17.07074188 -173.6831421 ]"
59,True,6080616059694990305,"[-149.54412134  182.42814334  -14.09418401   22.69646521  -93.99816168
    8.11847558    0.            5.56818002   -8.11847558]"
60,True,5540789941277714538,"[-296.30681937  160.89149771   10.75404691   55.39671883  -56.04157982
  -33.48670653    0.            6.79508927   -7.83782479]"
61,True,505822111612074472,"[ -17.95163769    0.            1.94981565 -365.69158157    6.66625684
   11.71580506   17.95163769    6.90456305  -11.71580506]"
62,True,7847869156932808821,"[  -44.55626419   206.63596289   140.06499012    89.11252837
 -1073.4269885   -247.82230155     0.          -206.63596289
   -58.36078278]"
63,True,7044133531534598524,"[-141.87482148  -31.29829799    0.          -53.43072395  -92.20512784
   67.66338814  160.4965942   112.81728103 -135.32677629]"
64,True,3159276004447286718,"[-117.6750481   188.37853483  111.09158511    2.85312108  -10.24720387
    0.            8.50743686 -189.71764933  -62.31153517]"
65,True,7424741396163334299,"[-55.98233275   0.          69.43661367  16.50123174 -13.39585323
   0.         174.89069013 -14.27010603 -92.24873173]"
66,True,5358117783018082711,"[-353.76940818  -69.67320072   63.92806912 -348.36600359  -48.86048622
   25.2882246   265.65272581   74.05728283  -73.41862246]"
67,True,977055455557492392,"[-380.86692788  -71.37799198   17.07295556 -332.91299192  -24.44882289
    0.          120.88121083   98.91070898  -26.22319434]"
68,True,5623854645586511444,"[ -42.44073411   -4.82827507   22.42555521 -101.17436997  -29.71578546
   60.60343317  113.02511666  -29.60847685  -58.65084187]"
69,True,5873323083747168291,"[  -7.88979921   39.45875261    0.            0.         -306.16958261
  104.92910506 -191.45934851  572.88041261 -127.07901036]"
70,True,1003474323214419801,"[ -43.84279867   -4.80286129   79.42165133 -126.6551338    15.17881364
   49.918181     24.01430645    4.80286129  -67.42424269]"
71,True,7847172599427095908,"[-396.41678565  -57.84242812   15.6847153  -353.11477536   21.20420639
   58.11538245  478.25858763  -21.20420639  -73.80009775]"
72,True,2380632118435897040,"[-216.57954508  -34.04653429  119.95145015   10.68293772   -8.65385597
    0.           46.34687363  -70.17132035  -43.79176462]"
73,True,4698234396238880551,"[  -15.1829413      0.             6.09388053   -33.29462997
 -1863.16101575   250.54295594    15.1829413   1853.4655015
  -191.41863738]"
74,True,4497829210998926411,"[-27.6985073   71.87997798  39.9333211   19.67349995 -18.67617152
 -39.9333211    8.02500735 -55.35016621 -39.9333211 ]"
75,True,6054800897970913952,"[ 1.06026207e+02  1.53732255e-01  1.35867335e+01  6.15801988e+00
 -7.40845517e+00  0.00000000e+00 -1.98376868e+01  7.40845517e+00
 -1.08312419e+03]"
76,True,8752119417266850227,"[-197.62369886   59.02804512  -17.32704486  165.40572094  -60.35737948
   20.1683011  -165.40572094   -1.89246343   28.02388119]"
77,True,3959005338913060625,"[-420.69687468   66.34058352  -46.74409719    0.          -34.55251575
   17.66003765 -277.81330966  -31.78806777  -25.66401487]"
